Ürün ID,OrderDate,ÜrünAdi,Miktar,Birim Fiyat,ToplamTutar,BirimMaliyet,ToplamMaliyet,Kar,MusteriID,Musteri,SatisTemsilcisi,F13,F14,F15
22,2022-09-13 00:00:00,Mozzarella Peyniri,41,24,984,18,738,246,315,Vogue,Merve Hilal Akinci,,,
16,2022-09-13 00:00:00,Marul,90,15,1350,14,1260,90,315,Vogue,Ahmet Murat Düzenli,,,
30,2022-09-14 00:00:00,Kirmizi Sogan,27,12,324,8,216,108,233,Nusr-Et Steakhouse,Reyhan Burcu Kalkan,,,
16,2022-09-15 00:00:00,Marul,67,15,1005,14,938,67,14,Sunset Grill,Ahmet Murat Düzenli,,,
2,2022-09-16 00:00:00,Siyah Zeytin,79,12,948,6,474,474,572,360 Istanbul,Reyhan Burcu Kalkan,,,
16,2022-09-16 00:00:00,Marul,46,15,690,14,644,46,23,Lacivert,Reyhan Burcu Kalkan,,,
16,2022-09-16 00:00:00,Marul,52,15,780,14,728,52,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
30,2022-09-17 00:00:00,Kirmizi Sogan,39,12,468,8,312,156,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2022-09-18 00:00:00,Marul,66,15,990,14,924,66,846,Mükellef,Reyhan Burcu Kalkan,,,
16,2022-09-19 00:00:00,Marul,58,15,870,14,812,58,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
39,2022-09-19 00:00:00,Ananas,40,33,1320,28,1120,200,315,Vogue,Reyhan Burcu Kalkan,,,
39,2022-09-20 00:00:00,Ananas,71,33,2343,28,1988,355,846,Mükellef,Reyhan Burcu Kalkan,,,
16,2022-09-23 00:00:00,Marul,18,15,270,14,252,18,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
16,2022-09-23 00:00:00,Marul,28,15,420,14,392,28,572,360 Istanbul,Merve Hilal Akinci,,,
85,2022-09-24 00:00:00,Sucuk,33,53,1749,35,1155,594,14,Sunset Grill,Ahmet Murat Düzenli,,,
100,2022-09-24 00:00:00,Parmesan Peyniri,14,8,112,4,56,56,14,Sunset Grill,Reyhan Burcu Kalkan,,,
100,2022-09-25 00:00:00,Parmesan Peyniri,72,8,576,4,288,288,95,Mikla Restaurant,Ahmet Murat Düzenli,,,
100,2022-09-27 00:00:00,Parmesan Peyniri,10,8,80,4,40,40,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2022-09-27 00:00:00,Marul,42,15,630,14,588,42,14,Sunset Grill,Ahmet Murat Düzenli,,,
4,2022-09-29 00:00:00,Domates,48,9,432,7,336,96,23,Lacivert,Reyhan Burcu Kalkan,,,
